x_m,z_m,hit_count
-0.91,0.16,171
-0.9,0.16,171
-0.89,0.16,171
-0.88,0.16,171
-0.87,0.16,171
-0.86,0.16,171
-0.85,0.16,171
-0.84,0.16,171
-0.83,0.16,171
-0.82,0.16,171
-0.81,0.16,171
-0.8,0.16,171
-0.79,0.16,172
-0.78,0.16,172
-0.77,0.16,172
-0.76,0.16,172
-0.75,0.16,172
-0.74,0.16,172
-0.73,0.16,172
-0.72,0.16,172
-0.71,0.16,172
-0.7,0.16,172
-0.69,0.16,172
-0.68,0.16,172
-0.67,0.16,172
-0.66,0.16,172
-0.65,0.16,172
-0.64,0.16,172
-0.63,0.16,172
-0.62,0.16,172
-0.61,0.16,172
-0.6,0.16,172
-0.59,0.16,172
-0.58,0.16,172
-0.57,0.16,172
-0.56,0.16,172
-0.55,0.16,172
-0.54,0.16,172
-0.53,0.16,172
-0.52,0.16,172
-0.51,0.16,172
-0.5,0.16,172
-0.49,0.16,172
-0.48,0.16,172
-0.47,0.16,172
-0.46,0.16,172
-0.45,0.16,172
-0.44,0.16,172
-0.43,0.16,172
-0.42,0.16,172
-0.41,0.16,172
-0.4,0.16,172
-0.39,0.16,172
-0.38,0.16,172
-0.37,0.16,172
-0.36,0.16,172
-0.35,0.16,172
-0.34,0.16,172
-0.33,0.16,172
-0.32,0.16,172
-0.31,0.16,172
-0.3,0.16,172
-0.29,0.16,172
-0.28,0.16,172
-0.27,0.16,172
-0.26,0.16,172
-0.25,0.16,172
-0.24,0.16,172
-0.23,0.16,172
-0.22,0.16,172
-0.21,0.16,172
-0.2,0.16,172
-0.19,0.16,172
-0.18,0.16,172
-0.17,0.16,172
-0.16,0.16,172
-0.15,0.16,172
-0.14,0.16,172
-0.13,0.16,172
-0.12,0.16,172
-0.11,0.16,172
-0.1,0.16,172
-0.09,0.16,172
-0.08,0.16,172
-0.07,0.16,172
-0.06,0.16,172
-0.05,0.16,172
-0.04,0.16,172
-0.03,0.16,172
-0.02,0.16,172
-0.01,0.16,172
0,0.16,172
0.01,0.16,172
0.02,0.16,172
0.03,0.16,172
0.04,0.16,172
0.05,0.16,172
0.06,0.16,172
0.07,0.16,172
0.08,0.16,172
0.09,0.16,172
0.1,0.16,172
0.11,0.16,172
0.12,0.16,172
0.13,0.16,172
0.14,0.16,172
0.15,0.16,172
0.16,0.16,172
0.17,0.16,172
0.18,0.16,172
0.19,0.16,172
0.2,0.16,172
0.21,0.16,172
0.22,0.16,172
0.23,0.16,172
0.24,0.16,172
0.25,0.16,172
0.26,0.16,172
0.27,0.16,172
0.28,0.16,172
0.29,0.16,172
0.3,0.16,172
0.31,0.16,172
0.32,0.16,172
0.33,0.16,172
0.34,0.16,172
0.35,0.16,172
0.36,0.16,172
0.37,0.16,172
0.38,0.16,172
0.39,0.16,172
0.4,0.16,172
0.41,0.16,172
0.42,0.16,172
0.43,0.16,172
0.44,0.16,172
0.45,0.16,172
0.46,0.16,172
0.47,0.16,172
0.48,0.16,172
0.49,0.16,172
0.5,0.16,172
0.51,0.16,172
0.52,0.16,172
0.53,0.16,172
0.54,0.16,172
0.55,0.16,172
0.56,0.16,172
0.57,0.16,172
0.58,0.16,172
0.59,0.16,172
0.6,0.16,172
0.61,0.16,172
0.62,0.16,172
0.63,0.16,172
0.64,0.16,172
0.65,0.16,172
0.66,0.16,172
0.67,0.16,172
0.68,0.16,172
0.69,0.16,172
0.7,0.16,172
0.71,0.16,172
0.72,0.16,172
0.73,0.16,172
0.74,0.16,172
0.75,0.16,172
0.76,0.16,172
0.77,0.16,172
0.78,0.16,172
0.79,0.16,172
0.8,0.16,169
0.81,0.16,169
0.82,0.16,169
0.83,0.16,169
0.84,0.16,169
0.85,0.16,169
0.86,0.16,169
0.87,0.16,169
0.88,0.16,169
0.89,0.16,169
0.9,0.16,169
0.91,0.16,2
