trajectory,mode,pass,rmse_norm_m,mean_norm_m,max_error_m,prehold_last10_m,hold_drift_m,solver_fail_count,fallback_count,platform_limit_violation_count,platform_delta_x,platform_delta_y,platform_delta_psi,arm_max_delta_norm_rad,max_cable_force_N,start_error_norm_m
line,platform_only,true,0.0022732466040200363,0.0017620664937493687,0.0038961155263851697,8.658036963837613e-07,0.00020634017354315788,0.0,0.0,0.0,0.4999494183959479,0.00014300156481957782,-0.002507827008521179,0.0,9.681720761789933,2.4904574214834282e-05
line,arm_only,true,0.002735192168119266,0.0020958010247067497,0.004703091990388487,1.0544163511948825e-06,5.054260039831517e-05,0.0,0.0,0.0,0.0031458626813716463,-0.00022056982241015402,1.0324373489234265e-05,0.9734206072759631,67.81518012709809,4.0276377754179654e-05
line,cooperative,true,0.0064917630086038505,0.00543299141318954,0.01588067676577003,0.0021078254514445274,0.007051961789018764,0.0,0.0,0.0,0.2533343532858288,0.00035136337854097416,0.0006823989428546829,2.367144857970224,15.198902417172611,0.0001207546313976713
triangle,platform_only,true,0.0017812771353220747,0.0014560484268527289,0.0029981911434271355,2.0417174244770587e-06,0.0009480497445410072,0.0,0.0,0.0,5.433031138660716e-07,2.2990187596252093e-06,-1.4171810412457833e-05,0.0,9.20832767047227,0.0
triangle,arm_only,true,0.0023809082130505674,0.0018249326539472048,0.004266912280010402,1.3257110347648996e-05,0.0003806739657064573,0.0,0.0,0.0,-0.002434954755575417,0.00032050505294726605,-0.00018426582692001082,0.5593555923846852,121.0446480421842,0.0
triangle,cooperative,true,0.002250503657857143,0.0018295220302562264,0.003991944780193459,0.000875137678594634,0.0013290753622133653,0.0,0.0,0.0,-0.025804980413688505,-0.001192895673415777,0.00034396409661762204,0.5509008546436844,7.0,0.0
square,platform_only,true,0.002616777871750647,0.00222887814800819,0.004447871344308785,1.323046362848061e-05,0.002182697408775835,0.0,0.0,0.0,-1.7288022135035034e-06,5.842626940029509e-06,3.7194818312345636e-05,0.0,12.164934938694206,0.0
square,arm_only,true,0.0037552819348768275,0.0028946410215130247,0.006867639108745634,5.379015265735736e-05,0.0009694451320473434,0.0,0.0,0.0,-0.005560606321000762,-0.00044575299362623505,-0.0003008948742557403,0.8543388330640135,148.06959821725766,0.0
square,cooperative,true,0.0034321082855026455,0.002771244296918015,0.00651880400178761,0.0014162080799175378,0.002076919841726657,0.0,0.0,0.0,-0.042280909372862246,-0.007071398074164792,0.0008052411794722665,0.8558605007591719,7.000000000000002,0.0
circle,platform_only,true,0.0031350510821812295,0.002448467322190066,0.005076784189083503,5.589247112237039e-06,0.00030294900766184756,0.0,0.0,0.0,0.00011366351916401729,-8.001367223199486e-05,0.0013449253729484977,0.0,10.841819338672867,9.973537690961449e-05
circle,arm_only,true,0.0043320306855233115,0.003305981438455909,0.00772447623069004,3.1449207811514246e-06,0.00015282276201373366,0.0,0.0,0.0,0.00150450498158361,0.0005590659047907562,-0.00013550926223818832,0.6300777495551388,165.21487784583886,0.00013658819940586022
circle,cooperative,true,0.004327752116497543,0.0037343548889399053,0.008866671342222535,0.0030860537789570526,0.0014485916935039285,0.0,0.0,0.0,-0.023128221307945118,0.001588159643883078,-7.946631529049861e-05,0.6415544959931359,7.000000000000001,1.1382660051518744e-05
helix,arm_only,true,0.004969505501142438,0.0036458832040672483,0.014800085592462998,2.1292245078310295e-06,6.548372102143033e-05,0.0,0.0,0.0,0.00032113073591842075,0.000569667271326878,0.0002470066379400654,0.964019829616935,186.06982807633048,0.00010937152130597558
helix,cooperative,true,0.005432410734203846,0.004228890146200378,0.015256365095863755,0.0007927717892883826,0.0002749139785479789,0.0,0.0,0.0,-0.06438688600712386,0.0047897882161777325,0.0003114421964754004,0.9135884916728663,7.000000000000002,2.6552272067556112e-05
